非公開,質問,回答,質問者,回答者,日付,Discord元リンク,回答数
,身体に対しての質問です。 右の股関節が立ち上がって歩き出すと痛くて歩けなくなる時があります。 右膝が内側に入ってしまう癖も気になります。,"【タイチ】
右の股関節のどこらへんが痛くなりますか？🤔

---

【あゆみ764688】
股関節付け根です。
例えるなら骨がズレて擦れてる感覚？痛みで上手く動かせなくなります💦
整形外科でレントゲンを撮ってもらったんですけど異常なしとの事で…

---

【タイチ】
了解です！ちなみに、歩いてる時の足の重心は小指側ですか？そしてX脚ですか？

---

【あゆみ764688】
多分小指側でX脚だと思います💦
立っている時に癖で両足小指側で立ってしまっているので…",あゆみ764688,"あゆみ764688, タイチ",2025-12-08,https://discord.com/channels/1441619538293686387/1444479247669530664/1447561990930174126,4
,すみません！質問なのですが、今自分は社会人野球をしていて、球速アップの為には開脚回旋が必要と言われています。自分の中ではおしりの硬さを股関節の前側の硬さがあって出来てないのでは？と思っています。その中で、今までのアーカイブ動画などを参考にして見させて頂きたいのですが、どれが1番適切なのか教えて頂けますか？？,"【タイチ】
開脚を軸にお答えしますね！
お尻の硬さが股関節の前側の硬さに関係しているかについては、関係はしているのですがまず最初にお尻を使えるようにしなければなりません。
なのでお尻が使えてないのは硬さではなく、単純に神経伝達がまだ浅いって感じです！
なのでお尻をどのアーカイブで動かせるようにするかなのですが、ニューテーションを詳しくやっているレッスンがまだないので、フォロワー様限定特別レッスンでニューテーションを練習しているので、そこが理解できたら開脚のアーカイブをレベルの優しいものから実践するようにしてみて下さい🔥",まつもとひびき   310264,タイチ,2025-12-09,https://discord.com/channels/1441619538293686387/1444479247669530664/1447916003450294395,1
,横からすみません！私もめちゃくちゃX脚です 痛いとか無いのですがまっすぐな脚になりたいです どの動画をやればいいですか？ 足首のショートしましたが正座でかかとがくっつかずに広がってしまいます,"【タイチ】
今の時点では、X脚を改善する！をテーマにした動画はないです。
が、見て頂いた足首のショート動画での母指球で押す感覚をまず練習しながらアーカイブ(22)(34)(36)を練習してみて下さい！

---

【kana 477252】
ありがとうございます！やってみます",kana 477252,"kana 477252, タイチ",2025-12-09,https://discord.com/channels/1441619538293686387/1444479247669530664/1447923089286496308,2
,自分も横からすみません。Kanaさんと同じ感じなのと、ゴムバンドを指の間に咬ませて、母指球か小指球に通して、伸ばしたり起こしたりするケアで脛の外側が痛くなります。 ひざをついて腸腰筋を伸ばすストレッチで毛布を引いても膝が痛いです。膝についてる筋肉が痛いのかもしれません。 やり方間違ってるのでしょうか…,"【タイチ】
脛を筋膜リリースボール(小)でリリースさせてからやれば楽にできます！👍
腸腰筋を伸ばすストレッチは、基本膝に体重をかけずに、後ろ足の甲に体重をかけるので膝が痛くなってたら重心の位置が間違ってると思って下さい！

---

【しか414021】
何度もすみません。
膝をうかして足の甲にしか体重がかかっていないと思うんですが、右側だけ膝の内側上方が痛いです…。

---

【タイチ】
足の甲っていうよりかは指先にお尻の重さが掛かってるイメージです！
右膝の内側か🤔
内腿めっちゃしめてお腹薄く引っ込めながらやってみるとどうですか？

---

【しか414021】
ありがとうございます😊アドバイスのようにやると、若干痛くないかなって感じはします。内腿めっちゃ絞められてるかどうかは疑問ですが🙏右の内側なんですが膝のお皿の隣（骨より内側の辺り）です。筋肉？に引っ張られてる痛みな感じの気かもします。

---

【タイチ】
筋肉が引っ張られてる感覚なら問題ないかもですね。
ただ、解剖学視点でいうと内股のストレッチはかからない動作なので内腿や腸腰筋の筋肉が弱いとかそういう事も考慮した方がいいかもしれません！

---

【しか414021】
なるほど🧐です。膝をついている時より上げた時に痛みがピーンと走るので、内転筋、腸腰筋脆弱なのと前腿の張りとかですかね？レッスン参加して治っていけばいいなぁと思います。
こんなに親身に答えてくださるオンラインあるんですね。また後日、感想レポート書きます🤗",しか414021,"しか414021, タイチ",2025-12-09,https://discord.com/channels/1441619538293686387/1444479247669530664/1447924450820358267,6
,@あゆみ764688 腸腰筋を伸ばす方向に使う練習と、お尻の筋肉を使って足を外旋、外転させるトレーニングを入れながら、内腿伸ばした方がいいですね！ また、足の裏は母指球側に載せる練習をしないといけないです！  ダウンドッグに関しては、お腹が抜けていますね！ あとは、お尻でニューテーションを起こすことができていないので前ももを使ってしまいます！ これは立っている時の姿勢も同じです！前ももが疲れやすく張りやすくなります🤦🏻,"【あゆみ764688】
ありがとうございます！
アーカイブだとどのワークが適切ですか？

---

【タイチ】
お尻👉(36)
腸腰筋ストレッチ👉(42)
足首👉月曜ショート動画
お腹👉(33)

---

【あゆみ764688】
ありがとうございます😭",タイチ,"あゆみ764688, タイチ",2025-12-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1448113748735950968,3
,横からすみません。Kaguraです。私もO脚の悩みがあって、O脚だから骨盤は後傾気味で下がってて尻トレどう頑張ってもヒップアップの効果がイマイチ... 前太ももとても張りやすく、運動強度と時間をあげたら足は疲労がとても溜まりやすくJumpとか軽快に飛べなかったりします。 O脚改善したいところです！  タイチ先生のコメントを見て気づきましたが、やはり足は外側に重心かけていますね！ヨガもダウンドッグのポーズ日々やっているが、おそらく足が外側に重心をかけてしまっています。 足首トレーニングは改善の鍵なんでしょうか？ @タイチ,"【タイチ】
O脚に関しても足首が鍵ですね！
僕もO脚ですが、足首の内側が埋まってしまって脛が外に広がるんですよね。
なので足の裏は母指球側+踵で押すのも大事。プラスで足首の内側を伸ばすように立たないといけないです！
後は、内腿のトレーニングだったり、外側広筋(外もも)リリースしたりストレッチさせて少しずつ改善させる必要ありですね👍

---

【Kagura_Mosh ID 765039】
返信ありがとうございます🥹なんで自分が体にこんな欠陥あるの？！改善も見込めず凹んだりしましたが、、まさか姿勢が美しい先生もO脚なんて...驚く一方、努力すれば変わるのではないかと少し心強くなりましたᕦ(ò_óˇ)ᕤ
親身なアドバイス大変ありがとうございます！母指球で押すこととウチモモを伸ばして立つこと意識します。立つ時常にウチモモ意識すると、ずっと筋トレしてる感覚でウチモモの緊張感を感じで全然長く続けないのですが...やはり内転筋が弱いからですか？
何か具体的な立ちポーズのアドバイスありますでしょうか？
ウチモモを鍛えるには何かおすすめの動画あがあるでしょうか

---

【タイチ】
内腿をそのまま閉じるのではなく、外旋をしながら内腿を使うのが大事です！ここの説明が文字では難しいのでLIVEでお伝えしますね！
内腿はアーカイブ(26)が良いですね👍

---

【Kagura_Mosh ID 765039】
ご返信ありがとうございます内旋ではなくて外旋ですか😳⁉️0脚ですが、元々外旋しているので内旋するように意識しないといけないかなと思いましたが....違うのですね

アーカイブ26見てみます！",Kagura_Mosh ID 765039,"Kagura_Mosh ID 765039, タイチ",2025-12-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1448124640814960821,4
,こんばんは！トレーニングについて相談です。  ぎっくり腰を3回経験していて、長年スウェイバック気味だったため平背です。骨盤前傾・後傾のトレーニングに取り組んでいますが、動作によって痛めてしまうことがあります。  また、あぐらや長座体前屈では骨盤が立たず、背中が丸まってしまいます。 このようなタイプは、まず何から始めるのが良いか教えていただきたいです。  よろしくお願いします。,"【タイチ】
なるほど！腰が痛くなるのはかなり辛いですよね。
こちらは明日の質疑応答LIVEてお答えしますね🙂‍↕️
見れない場合は、アーカイブも残しますのでご安心下さい。

---

【q 763408】
返信ありがとうございます！
明日質疑応答LIVEに参加しますのでよろしくお願いします🙇🏻‍♂️",q 763408,"q 763408, タイチ",2025-12-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1448257833731621028,2
,すみません！質問なのですが、タイチさんのストレッチ系は結構汗かく系で体幹系も入れたメニュー多めだと思うのですが、よくストレッチは風呂上がりの寝る前にやるって言われていて、今までずっと自分もそれをやって来ていたのですが、さすがこれから寝るぞってときにガッツリやるのは何か違うし、かといってお風呂上がりのストレッチはもう習慣にはなっているので、お風呂上がりのストレッチにこだわりすぎる意味はないですか？？それともストレッチだけを各種2分ほどやったので大丈夫ですか？？,"【タイチ】
目的によると思います。
可動域を上げるのには、必ず拮抗筋を使う感覚で2分ストレッチを、かけた方がいいです。
ただお風呂上がりでリラックスするためや睡眠の質をあげるなどであれば汗をかかない程よい感じでやる方がいいです！
どちらにせよ寝る前は、汗をかくぐらいストレッチしてしまっては本末転倒なのでやらない方が良いと思います👍",まつもとひびき   310264,タイチ,2025-12-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1448285099782312058,1
,こんばんは🌙 運動習慣がなく、体はガチガチ。姿勢も悪く不調があるので、それらを改善したく、この度、入会させていただきました。 よろしくお願いします🙇  今、痛くて困っているのが、左のお尻から太ももにかけて痛みがあることです。 以前から痛みはあったのですが、今日は立っているだけでもツライです💦 考えられる原因と改善方法を教えてください🙇,"【タイチ】
まみさん、体の痛みがあると大変ですよね。
こちらは、明日の質疑応答LIVEでお答えしますね👍
見れない場合は、アーカイブも残すのでご安心下さい！",Deleted User,タイチ,2025-12-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1448285410504474685,1
,水曜日の骨盤前傾のワークでの質問です  ①腸腰筋と前もものストレッチの時右足が前の時だけ前ももがキツイです。 ②レッグレイズの時脚の付け根が使われている感もありますが腹筋がプルプルの方が強く終わった後も腹筋が張ってしまいます,"【タイチ】
①恐らく、前足のつま先側にかかっているor足の距離が近すぎるのかと！あとはお腹抜けてますね👍

②お腹を凹ませる力&内腿を寄せる力が足りない状態ですね！お腹を固めてレッグレイズすると腹筋に効いてしまいます！腸腰筋狙いの時は、お腹を固めずになるべく凹ませてやると腸腰筋に効きます！

---

【あゆみ764688】
ありがとうございます😭
夜早速試してみます！",あゆみ764688,"あゆみ764688, タイチ",2025-12-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1448304554130276382,2
,先日参加しました。有益なレッスンをありがとうございます！  「縦開脚」レッスンについて質問です。 ①腸腰筋は伸長するストレッチの他、強化して鍛える事もやっていましたが、腸腰筋が鍛えられると柔軟性が上がる（逆に弱いと深まらない）理由が知りたいです。 ②腿裏の柔軟性を柔軟性を上げるためバウンスをしていたのですが、ある程度勢いをつけてグイっとやる事ある程度は必要なんですかね。可動域上がりましたが👍  リアタイ参加が時間的にほぼ出来なく、アーカイブで楽しみにしております！,"【タイチ】
縦開脚を軸にお伝えしますね！
①縦開脚時の前に伸ばす足は、腸腰筋の収縮がかかることで、裏もも(お尻側にある起始部)までストレッチが掛かります！
なので腸腰筋を鍛えることで柔軟性が上がります！

②はい！怪我の痛みではない「伸びる痛み」の範囲であれば勢いを使う事がバウンスストレッチ(動的ストレッチ)において重要になります。

アーカイブ視聴でもしっかり結果を出して頂くために頑張ります💪",Mizua,タイチ,2025-12-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1448576663133884488,1
,こんばんわ🌙 バレエ（クラッシック）のパフォーマンス向上のため、12月からサロンに入会しました。 入会後〜今日まで、 イチニチイチタイチ（訳：毎日、ショートorアーカイブレッスンをやる習慣）してます。  バレエのレッスンでは「肩下げて」とよく注意されるのですが、 今日のレッスンでは「肩下がって、胸上がってるね」っと褒められました😌 しかし、、肋骨開くな・お腹閉めろは、相変わらず注意され続けています💧  左右の肩甲骨はさほど寄せてはいませんし 大胸筋もボールエクセサイズのお陰でストレッチされているハズ。 （腕が長くなった感じがするのは、気のせいかな？）  ここからが質問です。 ・肋骨やお腹を閉じるためには”腹筋を鍛える”と考えちゃうのですが正しいですか？ ・また腹筋といっても”腹斜筋系””腹直筋”？ ・それとも”背筋を伸ばす”必要がある？ などです。  入会した早々、せっかちに質問してすみません^^; 教えていただけたら幸いです。  あづみ（基本的にはアーカイブ受講です。）,"【タイチ】
胸が開きやすくなったの素晴らしいですね👍
結論、腹斜筋、肋間筋、横隔膜、腹横筋などの筋群です！

これらが肋骨を締める上で必要になりますが
https://discord.com/channels/1441619538293686387/1444506245468913825
でいうと、(9)(19)(33)あたりがオススメです！

お腹を強くしながら、肩甲骨が下がって胸式呼吸をする必要があります！",あづみ：763608,タイチ,2025-12-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1448646419572588755,1
,ショートの胸椎編やってみました。ねじりの時に足がグラグラして倒れるのは、押せてないからか、おなかが抜けているのか、単なる筋力不足か、理由は何でしょうか,"【タイチ】
色々原因はありそうですね！
後ろ足に体重が乗っているか、前足はつま先荷重ではなく踵にも乗っているか。
お腹を引っ込めて捻れているかなど！
参考にやってみて下さい🙂‍↕️👍",ろぴのすけ511517,タイチ,2025-12-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1448687682208272394,1
,毎日12〜14時間の立ち仕事なため、仕事終わりはいつも下半身がパンパンで痛みもあります。少しでもこの辛さを翌日に持ち越さずにスッキリさせたいのですが、どのトレーニング動画から取り組んだら良いでしょうか？  先日の無料セミナーの動画は下半身のストレッチが多く、やったあとはとてもスッキリしました。他にもまずやった方がいいおすすめがあれば教えてください！,"【タイチ】
そうなんですね😓それは辛いですね。

結論からいうと、下半身が入っている動きであればどれからやっても良いと思います！

https://discord.com/channels/1441619538293686387/1444506245468913825
アーカイブ一覧にある(15)(23)は下半身全体の筋肉をバランスよくストレッチする内容なのでオススメです👍",Misa764186,タイチ,2025-12-12,https://discord.com/channels/1441619538293686387/1444479247669530664/1448691560135790785,1
,質問です！インスタのリール動画にもある開脚の片足側屈なのですが、それを行うときの拮抗筋はどこの筋肉になりますか？,"【タイチ】
良い質問ですね！！反対の脇腹になります👍",まつもとひびき   310264,タイチ,2025-12-12,https://discord.com/channels/1441619538293686387/1444479247669530664/1448913372912423013,1
,こんにちは！LIVEレッスンありがとうございました！スワンのポーズがいつもできなくて悩んでいます。ブロックを使わないとお尻が浮くし、ブロックを使っても、曲げている足を90°にしようとすると、伸ばしている方の足が曲がってしまいます。身体が開いてしまう、ねじれている感じです。お尻が使えていないからでしょうか？ 曲げる足の角度より、お尻の伸び重視で良いでしょうか？,"【タイチ】
前足を90度にすると後ろ足が曲がるのは、お尻、裏もも、内ももが使えていないから&お腹を薄くしたまま呼吸ができていないからだと思います！
まずはアーカイブ(33)で胸式呼吸を練習すると良いと思います👍
一旦は膝は曲がってもお尻のストレッチを中心に考えると良いです！
そして後ろ足のお尻を使うこと、前の足もお尻を使えると安定するようになってきます。
前足は外旋をかけてお尻を使えるようにすると良いです⭕️

---

【Kaori 744755】
お忙しい中ありがとうございます✨最大限にお腹を薄くして呼吸しながら、腸腰筋の伸びとお尻を使えるように後ろ足の膝を地面に近づける意識でスワンのポーズをしてみたら、いつもより伸びているのを感じました！お尻も床に近付いている感覚がありました！
たったこれだけの意識の違いでこんなに変わるなんてビックリ！今までスワンのポーズはリラックスポーズと勘違いしていたので、お腹抜けまくってました😂",Kaori 744755,"Kaori 744755, タイチ",2025-12-13,https://discord.com/channels/1441619538293686387/1444479247669530664/1449233519787245600,2
,rレッスンありがとうございました。小胸筋ストレッチのときに足が立ちません。おしりと外旋の問題でしょうか？（肘曲げたときだけです）また、スワンのポーズで前の足を９０度にしようとすると膝に痛みがでます。,"【タイチ】
お尻を使って外旋させると立つんですが、コツとしてはまず足の裏全体でを床を押せるかどうかです。
足を立てようとしてもダメで、足の裏全体で床を押すようにしながら立たせなければなりません！
スワンのポーズで前足の膝が痛いのは膝のお皿？膝裏？どちらでしょうか？

---

【ろぴのすけ511517】
回答ありがとうございます😊
今日の初心者でなんとなく掴めた気がしますので、足裏ちゃんと踏んでできるように少しずつ積み重ねます。
スワンの時は左膝裏、外寄りに痛みが出ます。",ろぴのすけ511517,"ろぴのすけ511517, タイチ",2025-12-13,https://discord.com/channels/1441619538293686387/1444479247669530664/1449236015167312056,2
,こんばんわ✨いつもありがとうございます。皆さんお疲れさまです！ 質問なのかどうか… 巻き肩のせいなのかなにをしても肩が詰まる？重い？ 日曜日ーのをみてやってみたのですがブロックを前に立ててチャイルドポーズのときに胸がマットに近付きません。 私の動きが合っていないのか…自信がなさすぎて凹んでおります,"【タイチ】
ブロックを使ったパピーポーズで胸をつけるのはかなりレベルが高いので、つけれなくてもしっかりと脇や胸の伸びを感じながら背中の筋肉を使えていれば大丈夫ですよ👌
そして、巻き肩や肩のだるさを治すのは胸の筋肉に神経を通せているかどうかです！
今日開催したビギナークラスのアーカイブと(45)のアーカイブを繰り返し実施してみて下さい！

そして凹む気持ち、わかります🙂‍↕️
僕も最初は何度も挫折しかけたことがあります。
スワンのポーズでお尻は全然床に着かなかくて、ダウンドッグでは踵も浮くし膝も曲がるしで。しかもそんな中インストラクターとして教えてました。
今思うと恥ずかしい。笑

でも今みたいに体を変えれたのは、凹んでも次の日には切り替えて当たり前のように練習に取り組んだ事が今の自分に繋がってます👍
なので凹みも受け止めながら、でも私は体を変えるんだ。と気持ちを切り替えてストレッチやトレーニングをルーティン化してみて下さい🙂‍↕️

---

【のりこ765136】
お忙しい所ありがとうございました❤️本日はLIVE参加が難しかったのでアーカイブを見て日々の積み重ねをしてみます！絶対に他にいないインストラクターになりたいです！
まだ始めたばかり…がんばろー✨",のりこ765136,"のりこ765136, タイチ",2025-12-13,https://discord.com/channels/1441619538293686387/1444479247669530664/1449388530592776263,2
,こんにちは。横開脚の股割りですが、そもそもボールに乗るのができないのは何が悪いのでしょうか？,"【タイチ】
ボールは何センチですか？🤔

---

【Deleted User】
25cmです

---

【タイチ】
ボールに体が乗り切らないって感じでしょうか？
それともお腹は当たってるけど乗り切れないって感じでしょうか？🤔

---

【Deleted User】
お腹は当たるけど、そこからボールに乗れない感じです。

---

【タイチ】
でしたらまだまだニューテーションが掛かってないと思うので、お尻を動かす練習が必要ですね！
あとは、股関節からかかとまで内旋が掛かっているかどうかも重要なので

お尻を使ってニューテーションしながら、股関節から踵まで内旋方向へ持っていけるとお腹がついてくると思います👍

最初の時点では、もう少し大きい30cm〜35cmのボールを使ってみても良いかもしれませんね！

---

【Deleted User】
ありがとうございます✨やってみますね☺️",Deleted User,"Deleted User, タイチ",2025-12-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1449679862234353734,6
,こんにちは。今日もレッスンありがとうございます。首の前を伸ばす動き、丸くなる動きの時に首や肩がつっぱります。ストレッチやトレーニングで改善できるでしょうか？,"【タイチ】
改善できます！
首を伸ばす、丸める時に、肩甲骨を下げられるかどうかです！
下げるためにはまず胸が柔らかくないといけません。
なので最近の(45)(46)初心者アーカイブシリーズはかなりオススメです👍

胸を反る⇨首を反る
胸を丸める⇨首を丸める

が意識できると肩甲骨も動くので改善させれると良いですね。",Deleted User,タイチ,2025-12-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1449729984297173155,1
